row,task_for,seg_id,stname,lanes,divided_roadway,bike_lane_type_simple,parking,sidewalk_status,check_year,curb_to_curb_width,traffic_lanes_width,shoulder_width,notes
206,Demi,541283,N 3RD ST,1,FALSE,None,One side,Both sides,,27,19,0,
207,Demi,540667,W SOMERSET ST,1,FALSE,None,Both sides,Both sides,,25,18,0,
208,Demi,541333,E LEHIGH AVE,4,FALSE,Separated,Both sides,Both sides,,86,54,0,
209,Demi,541663,E LEHIGH AVE,5,TRUE,Separated,One side,Both sides,,85,52,0,
210,Demi,560007,CASTOR AVE,3,FALSE,None,None,Both sides,,51,40,0,
211,Demi,560033,RICHMOND ST,2,FALSE,Sharrow,None,Both sides,,39,39,0,
212,Demi,560030,CASTOR AVE,2,FALSE,Painted,One side,Both sides,,50,22,16,
213,Demi,400092,N 59TH ST,1,FALSE,None,Both sides,Both sides,,34,20,0,
214,Demi,400702,LANCASTER AVE,2,FALSE,Painted,Both sides,Both sides,,50,22,0,
215,Demi,401484,LANCASTER AVE,2,FALSE,Painted,Both sides,Both sides,,50,22,0,
216,Demi,422928,PARKSIDE AVE,3,FALSE,Separated,One side,Both sides,,60,33,0,
217,Demi,420007,PARKSIDE AVE,3,FALSE,Separated,None,Both sides,,42,29,0,
218,Demi,420053,PARKSIDE AVE,3,FALSE,None,Both sides,Both sides,,52,31,0,
219,Demi,422408,SWEETBRIAR DR,3,FALSE,Separated,None,One side,,42,35,7,
220,Demi,521404,W OXFORD ST,2,FALSE,None,Both sides,Both sides,,44,30,0,
221,Demi,420046,N 33RD ST,3,FALSE,Painted,None,Both sides,,40,30,0,
222,Demi,521254,MASTER ST,1,FALSE,None,One side,Both sides,,27,13,0,
223,Demi,522445,JEFFERSON ST,1,FALSE,None,Both sides,Both sides,,27,10,0,
224,Demi,520589,N 19TH ST,1,FALSE,None,Both sides,Both sides,,26,10,0,
262,Demi,440228,N 5TH ST,2,FALSE,None,Both sides,Both sides,,33,26,0,
263,Demi,441256,N 2ND ST,2,FALSE,None,Both sides,Both sides,,36,22,0,
264,Demi,440107,GERMANTOWN AVE,1,FALSE,Painted,Both sides,Both sides,2022,33,21,0,
265,Demi,543478,MASTER ST,1,FALSE,None,Both sides,Both sides,,26,13,0,
266,Demi,543462,N 5TH ST,2,FALSE,None,Both sides,Both sides,,35,21,0,
267,Demi,543579,FRANKFORD AVE,2,FALSE,None,Both sides,Both sides,,36,18,0,
268,Demi,543591,E GIRARD AVE,2,TRUE,None,Both sides,Both sides,,90,44,0,
269,Demi,441543,E PALMER ST,1,FALSE,None,Both sides,Both sides,,26,13,0,
270,Demi,543514,E PALMER ST,1,FALSE,None,One side,Both sides,,20,13,0,
271,Demi,300010,COBBS CREEK PKWY,2,FALSE,None,Both sides,Both sides,,52,34,0,
272,Demi,400513,CHESTNUT ST,2,FALSE,Separated,Both sides,Both sides,,44,20,0,
273,Demi,400557,S 52ND ST,3,FALSE,None,Both sides,Both sides,,50,34,0,
274,Demi,401888,WALNUT ST,2,FALSE,Separated,Both sides,Both sides,,34,20,0,
275,Demi,400498,MARKET ST,2,TRUE,Painted,Both sides,Both sides,,60,34,0,
276,Demi,400584,S 52ND ST,3,FALSE,None,Both sides,Both sides,,50,34,0,
277,Demi,400484,N 52ND ST,3,FALSE,None,Both sides,Both sides,,50,34,0,
278,Demi,420866,CHESTNUT ST,2,FALSE,Separated,Both sides,Both sides,,44,20,0,
279,Demi,420923,WALNUT ST,2,FALSE,Separated,Both sides,Both sides,,45,20,0,
280,Demi,420904,WALNUT ST,2,FALSE,Separated,Both sides,Both sides,,44,20,0,
281,Demi,420785,MARKET ST,2,TRUE,Painted,Both sides,Both sides,,60,34,0,
282,Demi,420883,CHESTNUT ST,2,FALSE,Separated,Both sides,Both sides,,48,20,0,
283,Demi,420820,MARKET ST,2,TRUE,Painted,Both sides,Both sides,,60,20,0,
284,Demi,420633,N 38TH ST,1,FALSE,None,Both sides,Both sides,,26,10,0,
285,Demi,422657,SPRING GARDEN ST,2,FALSE,None,Both sides,Both sides,,34,20,0,
286,Demi,420925,CHESTNUT ST,2,FALSE,Separated,Both sides,Both sides,,44,20,0,
287,Demi,420624,HAVERFORD AVE,2,FALSE,Painted,Both sides,Both sides,,44,20,0,
288,Demi,420818,LANCASTER AVE,4,FALSE,None,Both sides,Both sides,,50,28,0,
289,Demi,420585,HAVERFORD AVE,1,FALSE,Painted,Both sides,Both sides,,34,18,0,
290,Demi,422191,MARKET ST,5,FALSE,Painted,Both sides,Both sides,,70,50,0,
291,Demi,420625,SPRING GARDEN ST,1,FALSE,Painted,Both sides,Both sides,,35,20,0,
292,Demi,420665,N 34TH ST,2,FALSE,Painted,Both sides,Both sides,,40,25,0,
293,Demi,421884,N 33RD ST,1,FALSE,Painted,Both sides,Both sides,,34,20,0,
294,Demi,422304,SPRING GARDEN ST,3,FALSE,Painted,None,Both sides,,40,32,0,
295,Demi,420642,N 22ND ST,2,FALSE,Separated,Both sides,Both sides,,50,22,0,
296,Demi,422001,N 20TH ST,2,FALSE,None,Both sides,Both sides,,40,24,0,
297,Demi,421376,ARCH ST,2,FALSE,None,Both sides,Both sides,,36,20,0,
298,Demi,422158,N 18TH ST,2,FALSE,None,One side,Both sides,,38,20,0,
