seg_id,st_name,st_type,class,responsibl,full_street_name,full_street_name_clean,total_crashes,crashes_2020,crashes_2021,crashes_2022,crashes_2023,crashes_2024,ksi_crashes,fatal_crashes,serious_inj,minor_inj,poss_inj,pdo_crashes,ped_crashes,bike_crashes,vru_crashes,speeding,alcohol,dark,peak_crash,offpk_crash,am_peak,pm_peak,midday,evening,night,weekend,weekday,spd_lim_md,lane_ct_md,ksi_rate,fatal_rate,ped_rate,bike_rate,vru_rate,spd_rate,alc_rate,dark_rate,offpk_share,wknd_share,crash_py,ksi_py
413772,CITY,AVE,2,STATE,CITY AVE,CITY AVE,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,2,0,0,0,0,2,0,2,35,0,0,0,50,0,50,50,0,100,100,0,0.4,0
413773,CITY,AVE,2,STATE,CITY AVE,CITY AVE,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,35,2,0,0,0,0,0,0,0,100,100,0,0.2,0
413774,CITY,AVE,2,STATE,CITY AVE,CITY AVE,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,100,100,0.2,0
413775,CITY,AVE,2,STATE,CITY AVE,CITY AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413776,OVERBROOK,PKWY,14,TOWNSHIP,OVERBROOK PKWY,OVERBROOK PKWY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413777,ROLLING,RD,14,TOWNSHIP,ROLLING RD,ROLLING RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413778,FARWOOD,RD,14,TOWNSHIP,FARWOOD RD,FARWOOD RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413779,COLUMBIA,AVE,5,CITY,COLUMBIA AVE,COLUMBIA AVE,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,35,2,0,0,0,0,0,0,0,0,100,0,0.4,0
413780,SUMMER,ST,5,CITY,SUMMER ST,SUMMER ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413781,SUMMER,ST,5,CITY,SUMMER ST,SUMMER ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
